Date,Title,Period,Forecast,Actual,Update_Time
2023-02-15 10:30:00-05:00,EIA Weekly Petroleum Status Report,02/10,-,-,Wed Feb  8 10:49:47 2023
2023-02-08 10:30:00-05:00,EIA Weekly Petroleum Status Report,02/03,-,826.7M,Wed Feb  8 10:49:47 2023
2023-02-15 09:15:00-05:00,Industrial Production & Capacity Utilization,Jan,-,-,Wed Feb  8 10:49:47 2023
2023-02-15 08:30:00-05:00,Advance Monthly Sales for Retail & Food Services,Jan,-,-,Wed Feb  8 10:49:47 2023
2023-02-14 08:30:00-05:00,CPI,Jan,-,-,Wed Feb  8 10:49:47 2023
2023-02-10 10:00:00-05:00,University of Michigan Survey of Consumers - preliminary,Feb,65.1,-,Wed Feb  8 10:49:47 2023
2023-02-09 10:30:00-05:00,EIA Weekly Natural Gas Storage Report,02/03,-,-,Wed Feb  8 10:49:47 2023
2023-02-09 08:30:00-05:00,Unemployment Insurance Weekly Claims Report - Initial Claims,02/04,190K,-,Wed Feb  8 10:49:47 2023
2023-02-07 08:30:00-05:00,U.S. International Trade in Goods & Services,Dec,-68.5B,-67.42B,Tue Feb  7 09:43:12 2023
2023-02-16 08:30:00-05:00,Unemployment Insurance Weekly Claims Report - Initial Claims,02/11,-,-,Thu Feb  9 23:05:17 2023
2023-02-16 08:30:00-05:00,PPI,Jan,-,-,Thu Feb  9 23:05:17 2023
2023-02-16 08:30:00-05:00,New Residential Construction - Housing Starts and Building Permits,Jan,-,-,Thu Feb  9 23:05:17 2023
2023-02-02 08:30:00-05:00,Preliminary Productivity & Costs,4Q,2.50%,3.00%,Thu Feb  2 21:13:45 2023
2023-02-02 08:30:00-05:00,Unemployment Insurance Weekly Claims Report - Initial Claims,28-Jan,195K,183K,Thu Feb  2 21:13:45 2023
2023-02-02 10:30:00-05:00,EIA Weekly Natural Gas Storage Report,27-Jan,2585B,2583B,Thu Feb  2 21:13:45 2023
2023-03-08 08:15:00-05:00,ADP National Employment Report,Feb,+210000,-,Mon Mar  6 09:06:29 2023
2023-03-08 08:30:00-05:00,U.S. International Trade in Goods & Services,Jan,-68.7B,-,Mon Mar  6 09:06:29 2023
2023-03-08 10:30:00-05:00,EIA Weekly Petroleum Status Report,03/03,-,-,Mon Mar  6 09:06:29 2023
2023-03-09 08:30:00-05:00,Unemployment Insurance Weekly Claims Report - Initial Claims,03/04,193K,-,Mon Mar  6 09:06:29 2023
2023-03-09 10:30:00-05:00,EIA Weekly Natural Gas Storage Report,03/03,-,-,Mon Mar  6 09:06:29 2023
2023-03-10 08:30:00-05:00,U.S. Employment Report,Feb,+225K,-,14-Mar 08:30 AM EDT
2023-02-03 08:30:00-05:00,U.S. Employment Report,Jan,+187K,+517K,Fri Feb  3 18:08:52 2023
2023-02-03 10:00:00-05:00,ISM Report On Business Services PMI,Jan,50.6,55.2,Fri Feb  3 18:08:52 2023
